Height,Lenght,Area,Eccen,P_black,P_and,Mean_tr,Blackpix,Blackand,Wb_trans,Class
11,427,4697,38.818,0.566,0.57,189.79,2657,2676,14,negative
5,110,550,22.0,0.547,0.556,100.33,301,306,3,negative
11,552,6072,50.182,0.816,0.816,4955.0,4955,4955,1,negative
1,283,283,283.0,0.993,1.0,140.5,281,283,2,negative
1,184,184,184.0,0.967,1.0,44.5,178,184,4,negative
1,16,16,16.0,0.938,1.0,15.0,15,16,1,negative
3,550,1650,183.33,0.329,0.375,27.15,543,619,20,negative
1,235,235,235.0,0.923,1.0,27.13,217,235,8,negative
1,58,58,58.0,0.845,1.0,9.8,49,58,5,negative
1,12,12,12.0,0.667,1.0,4.0,8,12,2,negative
1,69,69,69.0,0.667,1.0,4.18,46,69,11,negative
1,107,107,107.0,0.869,1.0,18.6,93,107,5,negative
3,550,1650,183.33,0.339,0.401,15.11,559,662,37,negative
3,463,1389,154.33,0.296,0.382,13.7,411,531,30,negative
1,8,8,8.0,1.0,1.0,8.0,8,8,1,negative
3,544,1632,181.33,0.326,0.406,16.12,532,662,33,negative
1,17,17,17.0,1.0,1.0,17.0,17,17,1,negative
1,206,206,206.0,0.99,1.0,204.0,204,206,1,negative
2,325,650,162.5,0.485,0.537,28.64,315,349,11,negative
1,8,8,8.0,1.0,1.0,8.0,8,8,1,negative
1,17,17,17.0,1.0,1.0,17.0,17,17,1,negative
1,277,277,277.0,0.993,1.0,137.5,275,277,2,negative
1,199,199,199.0,0.945,1.0,37.6,188,199,5,negative
10,553,5530,55.3,0.797,0.884,21.3,4409,4890,207,negative
3,259,777,86.333,0.96,0.978,67.82,746,760,11,negative
1,34,34,34.0,0.471,1.0,1.07,16,34,15,negative
2,100,200,50.0,0.46,0.505,11.5,92,101,8,negative
2,52,104,26.0,0.231,0.529,1.5,24,55,16,negative
1,161,161,161.0,0.41,1.0,1.02,66,161,65,negative
1,71,71,71.0,0.521,1.0,2.31,37,71,16,negative
1,20,20,20.0,0.55,1.0,1.38,11,20,8,negative
1,172,172,172.0,0.465,1.0,1.04,80,172,77,negative
1,106,106,106.0,0.434,1.0,1.02,46,106,45,negative
1,288,288,288.0,0.424,1.0,1.02,122,288,120,negative
1,8,8,8.0,1.0,1.0,8.0,8,8,1,negative
1,95,95,95.0,1.0,1.0,95.0,95,95,1,negative
1,67,67,67.0,0.985,1.0,66.0,66,67,1,negative
1,10,10,10.0,1.0,1.0,10.0,10,10,1,negative
1,138,138,138.0,1.0,1.0,138.0,138,138,1,negative
17,342,5814,20.118,0.916,0.996,30.27,5328,5790,176,negative
18,342,6156,19.0,0.847,0.897,43.48,5217,5522,120,negative
2,25,50,12.5,0.36,1.0,4.5,18,50,4,negative
2,24,48,12.0,0.354,1.0,3.4,17,48,5,negative
2,21,42,10.5,0.452,1.0,6.33,19,42,3,negative
2,22,44,11.0,0.477,1.0,21.0,21,44,1,negative
1,196,196,196.0,0.98,1.0,64.0,192,196,3,negative
2,199,398,99.5,0.485,0.508,32.17,193,202,6,negative
1,159,159,159.0,0.994,1.0,158.0,158,159,1,negative
1,199,199,199.0,0.99,1.0,197.0,197,199,1,negative
8,231,1848,28.875,0.872,0.882,179.0,1611,1630,9,negative
1,70,70,70.0,1.0,1.0,70.0,70,70,1,negative
1,14,14,14.0,1.0,1.0,14.0,14,14,1,negative
1,70,70,70.0,0.943,1.0,22.0,66,70,3,negative
1,9,9,9.0,1.0,1.0,9.0,9,9,1,negative
1,131,131,131.0,0.977,1.0,64.0,128,131,2,negative
1,16,16,16.0,1.0,1.0,16.0,16,16,1,negative
4,524,2096,131.0,0.542,0.603,40.57,1136,1264,28,negative
2,18,36,9.0,0.667,0.694,24.0,24,25,1,negative
3,116,348,38.667,0.356,0.371,62.0,124,129,2,negative
3,132,396,44.0,0.505,0.558,20.0,200,221,10,negative
1,152,152,152.0,0.822,1.0,11.36,125,152,11,negative
1,52,52,52.0,0.981,1.0,51.0,51,52,1,negative
1,117,117,117.0,0.393,1.0,5.75,46,117,8,negative
1,19,19,19.0,0.684,1.0,4.33,13,19,3,negative
1,37,37,37.0,0.811,1.0,6.0,30,37,5,negative
1,46,46,46.0,0.239,1.0,1.38,11,46,8,negative
1,17,17,17.0,0.882,1.0,7.5,15,17,2,negative
1,35,35,35.0,0.857,1.0,10.0,30,35,3,negative
1,148,148,148.0,0.959,1.0,47.33,142,148,3,negative
1,33,33,33.0,0.667,1.0,3.67,22,33,6,negative
1,106,106,106.0,0.858,1.0,15.17,91,106,6,negative
1,277,277,277.0,1.0,1.0,277.0,277,277,1,negative
2,538,1076,269.0,0.518,0.596,29.32,557,641,19,negative
3,500,1500,166.67,0.373,0.421,19.28,559,632,29,negative
2,536,1072,268.0,0.586,0.686,21.66,628,735,29,negative
1,22,22,22.0,0.818,1.0,4.5,18,22,4,negative
1,10,10,10.0,0.8,1.0,4.0,8,10,2,negative
37,1,37,0.027,1.0,1.0,37.0,37,37,1,negative
1,11,11,11.0,0.909,1.0,10.0,10,11,1,negative
1,29,29,29.0,0.931,1.0,13.5,27,29,2,negative
1,18,18,18.0,0.5,1.0,3.0,9,18,3,negative
25,169,4225,6.76,0.215,0.947,1.57,907,4000,579,negative
1,28,28,28.0,0.536,1.0,3.0,15,28,5,negative
1,85,85,85.0,0.882,1.0,12.5,75,85,6,negative
17,341,5797,20.059,0.935,0.998,36.38,5420,5784,149,negative
1,126,126,126.0,0.992,1.0,125.0,125,126,1,negative
2,62,124,31.0,0.452,0.565,11.2,56,70,5,negative
1,20,20,20.0,0.85,1.0,8.5,17,20,2,negative
1,87,87,87.0,0.92,1.0,16.0,80,87,5,negative
1,279,279,279.0,0.964,1.0,38.43,269,279,7,negative
48,402,19296,8.375,0.055,0.094,4.13,1058,1814,256,negative
304,463,140752,1.523,0.063,0.121,3.91,8898,17081,2273,negative
306,465,142290,1.52,0.055,0.123,2.69,7861,17452,2925,negative
45,79,3555,1.756,0.087,0.195,4.81,308,693,64,negative
12,146,1752,12.167,0.091,0.128,26.67,160,225,6,negative
212,464,98368,2.189,0.052,0.07,11.84,5066,6884,428,negative
8,16,128,2.0,0.156,0.859,5.0,20,110,4,negative
9,10,90,1.111,0.144,0.522,6.5,13,47,2,negative
52,461,23972,8.865,0.192,0.248,11.52,4607,5938,400,negative
38,70,2660,1.842,0.059,0.062,19.63,157,165,8,negative
36,172,6192,4.778,0.128,0.337,4.84,793,2086,164,negative
7,9,63,1.286,0.143,0.238,9.0,9,15,1,negative
37,72,2664,1.946,0.12,0.257,7.64,321,685,42,negative
49,79,3871,1.612,0.084,0.179,7.36,324,694,44,negative
39,70,2730,1.795,0.09,0.255,7.0,245,697,35,negative
31,71,2201,2.29,0.159,0.296,10.29,350,651,34,negative
47,286,13442,6.085,0.183,0.317,4.67,2459,4258,526,negative
36,96,3456,2.667,0.096,0.207,7.7,331,717,43,negative
43,62,2666,1.442,0.08,0.17,6.63,212,454,32,negative
33,28,924,0.848,0.098,0.271,5.69,91,250,16,negative
17,60,1020,3.529,0.139,0.371,7.1,142,378,20,negative
5,7,35,1.4,0.229,0.6,2.67,8,21,3,negative
9,17,153,1.889,0.144,0.458,3.14,22,70,7,negative
4,8,32,2.0,0.344,0.531,5.5,11,17,2,negative
85,69,5865,0.812,0.165,0.441,1.44,969,2588,674,negative
13,13,169,1.0,0.124,0.45,3.5,21,76,6,negative
14,19,266,1.357,0.128,0.541,2.83,34,144,12,negative
14,19,266,1.357,0.113,0.504,30.0,30,134,1,negative
15,14,210,0.933,0.11,0.338,1.92,23,71,12,negative
7,24,168,3.429,0.101,0.298,1.89,17,50,9,negative
5,12,60,2.4,0.133,0.267,4.0,8,16,2,negative
8,5,40,0.625,0.275,0.45,3.67,11,18,3,negative
4,5,20,1.25,0.35,0.8,2.33,7,16,3,negative
7,15,105,2.143,0.114,0.295,2.4,12,31,5,negative
4,7,28,1.75,0.286,1.0,2.0,8,28,4,negative
4,5,20,1.25,0.35,0.8,2.33,7,16,3,negative
5,3,15,0.6,0.467,0.6,3.5,7,9,2,negative
5,9,45,1.8,0.178,0.533,1.6,8,24,5,negative
100,49,4900,0.49,0.093,0.4,1.77,458,1958,259,negative
10,7,70,0.7,0.157,0.6,1.57,11,42,7,negative
6,5,30,0.833,0.233,0.633,1.75,7,19,4,negative
6,12,72,2.0,0.139,0.514,1.43,10,37,7,negative
81,49,3969,0.605,0.113,0.398,2.26,449,1580,199,negative
6,6,36,1.0,0.194,0.417,3.5,7,15,2,negative
6,9,54,1.5,0.148,0.296,4.0,8,16,2,negative
21,68,1428,3.238,0.052,0.109,5.69,74,156,13,negative
7,47,329,6.714,0.158,0.289,5.78,52,95,9,negative
13,8,104,0.615,0.154,0.769,1.07,16,80,15,negative
8,1,8,0.125,0.875,1.0,7.0,7,8,1,negative
8,9,72,1.125,0.125,0.319,4.5,9,23,2,negative
9,6,54,0.667,0.407,0.519,5.5,22,28,4,negative
10,12,120,1.2,0.208,0.583,1.67,25,70,15,negative
24,18,432,0.75,0.139,0.377,2.07,60,163,29,negative
14,17,238,1.214,0.113,0.387,1.8,27,92,15,negative
22,22,484,1.0,0.107,0.473,1.79,52,229,29,negative
16,4,64,0.25,0.156,0.531,5.0,10,34,2,negative
16,21,336,1.313,0.095,0.515,1.6,32,173,20,negative
13,5,65,0.385,0.123,0.538,8.0,8,35,1,negative
7,11,77,1.571,0.117,0.494,1.8,9,38,5,negative
36,48,1728,1.333,0.143,0.437,3.58,247,755,69,negative
55,48,2640,0.873,0.142,0.364,4.26,375,960,88,negative
53,48,2544,0.906,0.181,0.374,4.69,460,951,98,negative
29,48,1392,1.655,0.116,0.268,5.06,162,373,32,negative
21,4,84,0.19,0.31,0.643,3.71,26,54,7,negative
19,47,893,2.474,0.078,0.112,3.89,70,100,18,negative
13,5,65,0.385,0.323,0.554,5.25,21,36,4,negative
25,9,225,0.36,0.187,0.436,2.47,42,98,17,negative
8,4,32,0.5,0.438,0.594,7.0,14,19,2,negative
5,4,20,0.8,0.45,0.65,4.5,9,13,2,negative
9,4,36,0.444,0.25,0.75,9.0,9,27,1,negative
12,4,48,0.333,0.292,1.0,2.0,14,48,7,negative
6,5,30,0.833,0.367,1.0,2.2,11,30,5,negative
6,13,78,2.167,0.103,0.449,4.0,8,35,2,negative
4,11,44,2.75,0.159,0.932,1.75,7,41,4,negative
54,48,2592,0.889,0.143,0.264,6.85,370,685,54,negative
52,48,2496,0.923,0.138,0.248,7.67,345,619,45,negative
68,34,2312,0.5,0.224,0.526,2.44,519,1215,213,negative
67,30,2010,0.448,0.169,0.46,2.26,339,924,150,negative
20,39,780,1.95,0.14,0.405,3.21,109,316,34,negative
6,17,102,2.833,0.137,0.627,2.8,14,64,5,negative
37,20,740,0.541,0.131,0.193,4.22,97,143,23,negative
34,25,850,0.735,0.256,0.534,2.06,218,454,106,negative
34,27,918,0.794,0.219,0.554,3.09,201,509,65,negative
36,43,1548,1.194,0.117,0.183,3.07,181,283,59,negative
16,29,464,1.813,0.144,0.496,2.58,67,230,26,negative
101,99,9999,0.98,0.14,0.778,2.02,1398,7780,691,negative
30,60,1800,2.0,0.154,0.457,1.85,278,823,150,negative
32,106,3392,3.313,0.198,0.395,4.56,671,1341,147,negative
31,105,3255,3.387,0.242,0.456,4.89,787,1485,161,negative
31,37,1147,1.194,0.189,0.555,2.07,217,637,105,negative
30,61,1830,2.033,0.157,0.483,1.88,288,884,153,negative
29,61,1769,2.103,0.121,0.431,1.78,214,762,120,negative
83,277,22991,3.337,0.18,0.365,6.86,4138,8387,603,negative
54,357,19278,6.611,0.299,0.655,6.4,5766,12626,901,negative
54,357,19278,6.611,0.324,0.644,6.22,6238,12422,1003,negative
83,315,26145,3.795,0.295,0.594,9.21,7725,15523,839,negative
83,326,27058,3.928,0.286,0.671,7.55,7741,18149,1025,negative
83,314,26062,3.783,0.282,0.619,8.77,7353,16139,838,negative
160,286,45760,1.788,0.201,0.226,55.42,9199,10347,166,negative
91,285,25935,3.132,0.158,0.165,113.89,4100,4287,36,negative
118,105,12390,0.89,0.052,0.105,3.33,642,1296,193,negative
158,167,26386,1.057,0.16,0.276,8.24,4213,7279,511,negative
11,48,528,4.364,0.237,0.39,7.35,125,206,17,negative
311,463,143993,1.489,0.088,0.16,3.93,12631,23092,3212,negative
153,442,67626,2.889,0.114,0.215,6.27,7689,14538,1227,negative
7,13,91,1.857,0.154,0.484,2.0,14,44,7,negative
16,30,480,1.875,0.133,0.471,2.29,64,226,28,negative
17,9,153,0.529,0.209,0.497,1.88,32,76,17,negative
53,48,2544,0.906,0.157,0.269,7.84,400,685,51,negative
86,67,5762,0.779,0.164,0.935,2.37,947,5386,399,negative
32,350,11200,10.938,0.142,0.402,3.96,1588,4497,401,negative
31,105,3255,3.387,0.224,0.417,5.35,728,1358,136,negative
28,61,1708,2.179,0.172,0.509,1.97,294,870,149,negative
83,314,26062,3.783,0.298,0.671,8.75,7772,17482,888,negative
197,198,39006,1.005,0.273,0.332,46.93,10654,12964,227,negative
28,31,868,1.107,0.492,0.745,7.49,427,647,57,positive
28,32,896,1.143,0.481,0.742,7.43,431,665,58,positive
29,31,899,1.069,0.463,0.726,6.93,416,653,60,positive
28,32,896,1.143,0.488,0.743,7.05,437,666,62,positive
28,32,896,1.143,0.462,0.722,7.02,414,647,59,positive
28,31,868,1.107,0.508,0.767,7.47,441,666,59,positive
29,32,928,1.103,0.476,0.72,7.25,442,668,61,positive
29,32,928,1.103,0.432,0.689,6.27,401,639,64,positive
153,158,24174,1.033,0.587,0.641,46.95,14180,15491,302,positive
83,149,12367,1.795,0.388,0.472,28.77,4804,5838,167,positive
95,93,8835,0.979,0.675,0.902,3.63,5966,7968,1644,positive
93,104,9672,1.118,0.451,0.611,4.25,4366,5908,1028,positive
168,145,24360,0.863,0.798,0.963,13.06,19430,23457,1488,positive
187,137,25619,0.733,0.899,0.991,29.29,23025,25400,786,positive
132,547,72204,4.144,0.37,0.483,20.66,26693,34874,1292,positive
128,347,44416,2.711,0.399,0.567,13.07,17721,25163,1356,positive
168,135,22680,0.804,0.82,0.904,62.81,18591,20513,296,positive
174,471,81954,2.707,0.339,0.433,15.84,27820,35499,1756,positive
72,96,6912,1.333,0.488,0.582,15.69,3374,4025,215,positive
163,161,26243,0.988,0.523,0.897,8.4,13725,23547,1634,positive
186,469,87234,2.522,0.378,0.529,22.29,33017,46133,1481,positive
